ds,y
2021-04-19 18:00:00,54631.29
2021-04-19 19:00:00,54764.12
2021-04-19 22:00:00,55258.63
2021-04-19 23:00:00,54950.04
2021-04-20 00:00:00,53856.35
2021-04-20 01:00:00,54410.57
2021-04-20 02:00:00,55220.29
2021-04-20 03:00:00,54889.16
2021-04-20 04:00:00,55908.52
2021-04-20 05:00:00,56266.83
2021-04-20 06:00:00,55801.14
2021-04-20 07:00:00,56317.99
2021-04-20 08:00:00,55336.14
2021-04-20 09:00:00,55323.19
2021-04-20 10:00:00,55784.86
2021-04-20 11:00:00,55871.72
2021-04-20 12:00:00,56253.81
2021-04-20 13:00:00,56572.44
2021-04-20 14:00:00,56725.0
2021-04-20 15:00:00,57020.76
2021-04-20 16:00:00,56380.0
2021-04-20 17:00:00,56425.0
2021-04-20 18:00:00,55679.99
2021-04-20 19:00:00,56044.2
2021-04-20 20:00:00,56109.73
2021-04-20 21:00:00,55204.6
2021-04-20 22:00:00,55386.31
2021-04-20 23:00:00,55408.89
2021-04-21 00:00:00,55559.57
2021-04-21 01:00:00,55304.04
2021-04-21 02:00:00,55445.49
2021-04-21 03:00:00,55570.01
2021-04-21 04:00:00,54916.83
2021-04-21 05:00:00,54563.37
2021-04-21 06:00:00,55433.39
2021-04-21 07:00:00,55569.31
2021-04-21 08:00:00,56182.11
2021-04-21 09:00:00,56153.75
2021-04-21 10:00:00,55743.81
2021-04-21 11:00:00,55526.01
2021-04-21 12:00:00,55306.35
2021-04-21 13:00:00,55478.7
2021-04-21 14:00:00,54956.93
2021-04-21 15:00:00,54745.78
2021-04-21 16:00:00,53996.73
2021-04-21 17:00:00,53787.63
2021-04-21 18:00:00,54070.0
2021-04-21 19:00:00,53911.88
2021-04-21 20:00:00,53760.82
2021-04-21 21:00:00,53497.09
2021-04-21 22:00:00,54271.67
2021-04-21 23:00:00,54457.72
2021-04-22 00:00:00,54457.46
2021-04-22 01:00:00,54144.99
2021-04-22 02:00:00,53652.0
2021-04-22 03:00:00,54303.92
2021-04-22 04:00:00,53899.71
2021-04-22 05:00:00,54866.62
2021-04-22 06:00:00,54990.48
2021-04-22 07:00:00,54419.13
2021-04-22 08:00:00,54744.24
2021-04-22 09:00:00,54651.64
2021-04-22 10:00:00,54897.11
2021-04-22 11:00:00,53437.4
2021-04-22 12:00:00,53372.69
2021-04-22 13:00:00,52923.54
2021-04-22 14:00:00,51623.57
2021-04-22 15:00:00,51673.71
2021-04-22 16:00:00,51620.8
2021-04-22 17:00:00,51690.96
2021-04-22 18:00:00,51524.09
2021-04-22 19:00:00,51080.59
2021-04-22 20:00:00,49999.99
2021-04-22 21:00:00,50298.76
2021-04-22 22:00:00,49178.19
2021-04-22 23:00:00,49501.73
2021-04-23 00:00:00,49051.48
2021-04-23 01:00:00,47942.44
2021-04-23 02:00:00,48749.75
2021-04-23 03:00:00,48226.87
2021-04-23 04:00:00,49455.53
2021-04-23 05:00:00,50070.36
2021-04-23 06:00:00,49249.3
2021-04-23 07:00:00,49127.39
2021-04-23 08:00:00,49728.37
2021-04-23 09:00:00,49836.62
2021-04-23 10:00:00,49836.91
2021-04-23 11:00:00,49824.74
2021-04-23 12:00:00,50563.59
2021-04-23 13:00:00,50876.72
2021-04-23 14:00:00,50504.32
2021-04-23 15:00:00,50298.07
2021-04-23 16:00:00,50469.05
2021-04-23 17:00:00,51125.14
2021-04-23 18:00:00,49864.95
2021-04-23 19:00:00,49724.1
2021-04-23 20:00:00,50067.37
2021-04-23 21:00:00,50109.93
2021-04-23 22:00:00,50412.76
2021-04-23 23:00:00,50456.09
2021-04-24 00:00:00,50210.75
2021-04-24 01:00:00,49805.2
2021-04-24 02:00:00,49762.54
2021-04-24 03:00:00,49507.07
2021-04-24 04:00:00,48991.37
2021-04-24 05:00:00,49073.71
2021-04-24 06:00:00,49549.87
2021-04-24 07:00:00,49554.32
2021-04-24 08:00:00,49294.71
2021-04-24 09:00:00,50212.03
2021-04-24 10:00:00,49894.73
2021-04-24 11:00:00,50121.31
2021-04-24 12:00:00,50562.06
2021-04-24 13:00:00,50667.75
2021-04-24 14:00:00,50930.49
2021-04-24 15:00:00,50853.72
2021-04-24 16:00:00,50298.84
2021-04-24 17:00:00,50047.84
2021-04-24 18:00:00,49821.69
2021-04-24 19:00:00,50132.66
2021-04-24 20:00:00,50289.01
2021-04-24 21:00:00,49615.54
2021-04-24 22:00:00,49683.94
2021-04-25 02:00:00,50086.13
2021-04-25 03:00:00,49486.62
2021-04-25 04:00:00,49342.51
2021-04-25 05:00:00,49550.73
2021-04-25 06:00:00,49859.54
2021-04-25 07:00:00,49872.91
2021-04-25 08:00:00,50335.68
2021-04-25 09:00:00,50257.97
2021-04-25 10:00:00,50395.49
2021-04-25 11:00:00,49921.81
2021-04-25 12:00:00,49622.7
